disposition_code_sk,queue_sk,agent_sk,etl_ticket_id,last_changed,partition_key,redacted,abandoned_indicator,acw_end_timestamp,acw_end_timestamp_utc_quarter_hour_sk,acw_indicator,acw_start_timestamp,acw_start_timestamp_utc_quarter_hour_sk,agent_initiated_disconnect,barge_end_timestamp,barge_end_timestamp_utc_quarter_hour_sk,barge_indicator,barge_start_timestamp,barge_start_timestamp_utc_quarter_hour_sk,barge_timestamp,barge_timestamp_utc_quarter_hour_sk,business_accountname,channel_id,channel_type,coach_indicator,coach_timestamp,coach_timestamp_utc_quarter_hour_sk,dialog_end_time,dialog_end_time_utc_quarter_hour_sk,dialog_id,dialog_start_time,dialog_start_time_utc_quarter_hour_sk,direction,engagement_end_time,engagement_end_time_utc_quarter_hour_sk,engagement_id,engagement_start_time,engagement_start_time_utc_quarter_hour_sk,external_call_indicator,external_participant_id,message_type,observe_indicator,provider_id,send_from,send_to,subject,transfer_indicator,answered_timestamp,calling_number,dialled_number,emergency_indicator,answered_timestamp_utc_quarter_hour_sk,offered_attributes,queued_attributes,conference_indicator,consult_accepted_from_user_indicator,consult_initiated_to_user_indicator,consult_accepted_from_queue_indicator,consult_initiated_to_queue_indicator,conference_to_external_indicator,consult_to_external_indicator,consult_to_external_number,warm_transfer_to_external_indicator,warm_transfer_to_queue_indicator,warm_transfer_to_user_indicator,engagement_source,engagement_offered_time,engagement_queued_time,engagement_offered_time_utc_quarter_hour_sk,engagement_queued_time_utc_quarter_hour_sk,source_address,supervisor_sk,agent_id,agent_login_id,agent_first_name,agent_last_name,agent_display_name,agent_user_handle,agent_type,row_active_date,row_inactive_date,active_record,is_unknown,entity_deleted,attributes,queue_id,queue_name,queue_description,is_default,disposition_code_id,disposition_code_type,disposition_code_name,disposition_code_number,disposition_code_description
,2,-2,47729,2024-04-23 11:31:18.894946+00,20240423,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-23 11:30:00.575+00,202404231130,07626071781713871753,2024-04-23 11:29:14.547+00,202404231115,INCOMING,2024-04-23 11:30:00.575+00,202404231130,a4b3c777-c28c-4936-8b9e-2943a4b43871,2024-04-23 11:29:14.547+00,202404231115,,+33146385503,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+33146385503,+18022940681,,,,[Department.Sales],,,,,,,,,,,,NA,,2024-04-23 11:29:38.753+00,,202404231115,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,b4c28c2d-7e68-4d42-bd93-0295451cc9dd,VoiceQ,Voice Queue,f,,,,,
,2,-2,47699,2024-04-23 11:31:18.903154+00,20240423,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-23 11:28:50.831+00,202404231115,07626071761713871687,2024-04-23 11:28:08.185+00,202404231115,INCOMING,2024-04-23 11:28:50.831+00,202404231115,9a970d77-0e99-4e7f-bbaa-01d32842d1ed,2024-04-23 11:28:08.185+00,202404231115,,+33146385503,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+33146385503,+18022940681,,,,[Department.Sales],,,,,,,,,,,,NA,,2024-04-23 11:28:39.942+00,,202404231115,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,b4c28c2d-7e68-4d42-bd93-0295451cc9dd,VoiceQ,Voice Queue,f,,,,,
,,-2,47494,2024-04-17 13:46:19.69481+00,20240417,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-17 13:43:53.002+00,202404171330,07626565921713361426,2024-04-17 13:43:47.157+00,202404171330,INCOMING,2024-04-17 13:43:53.002+00,202404171330,65fdc46c-f87c-4158-a94a-658a691b856f,2024-04-17 13:43:47.157+00,202404171330,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,,,,,,,,,,,,,NA,,,,,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,,,,,,,,,
,2,-2,47433,2024-04-12 09:31:51.198313+00,20240412,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-12 09:26:07.829+00,202404120915,07626063551712913941,2024-04-12 09:25:42.208+00,202404120915,INCOMING,2024-04-12 09:26:07.829+00,202404120915,baf06c1d-2801-43ad-b3b6-d237072a91ed,2024-04-12 09:25:42.208+00,202404120915,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,[Department.Accounts],,,,,,,,,,,,NA,,2024-04-12 09:26:00.406+00,,202404120915,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,b4c28c2d-7e68-4d42-bd93-0295451cc9dd,VoiceQ,Voice Queue,f,,,,,
,2,-2,47405,2024-04-12 09:31:51.192737+00,20240412,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-12 09:25:25.417+00,202404120915,09989350321712913888,2024-04-12 09:24:48.483+00,202404120915,INCOMING,2024-04-12 09:25:25.417+00,202404120915,618b94f1-c564-4b0a-9d74-39b6b7f8eb91,2024-04-12 09:24:48.483+00,202404120915,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,[Department.Accounts],,,,,,,,,,,,NA,,2024-04-12 09:25:17.96+00,,202404120915,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,b4c28c2d-7e68-4d42-bd93-0295451cc9dd,VoiceQ,Voice Queue,f,,,,,
,2,-2,47371,2024-04-12 09:31:51.200717+00,20240412,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-12 09:24:32.937+00,202404120915,09989350311712913847,2024-04-12 09:24:08.247+00,202404120915,INCOMING,2024-04-12 09:24:32.937+00,202404120915,f07ce748-44b7-404b-a8cb-4f414b1c96f8,2024-04-12 09:24:08.247+00,202404120915,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,[Department.Accounts],,,,,,,,,,,,NA,,2024-04-12 09:24:26.116+00,,202404120915,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,b4c28c2d-7e68-4d42-bd93-0295451cc9dd,VoiceQ,Voice Queue,f,,,,,
,2,-2,47344,2024-04-12 09:31:51.200093+00,20240412,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-12 09:23:54.246+00,202404120915,09989350301712913806,2024-04-12 09:23:26.819+00,202404120915,INCOMING,2024-04-12 09:23:54.246+00,202404120915,e2da036d-d310-46e2-b80e-1e2125e6a609,2024-04-12 09:23:26.819+00,202404120915,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,[Department.Accounts],,,,,,,,,,,,NA,,2024-04-12 09:23:45.814+00,,202404120915,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,b4c28c2d-7e68-4d42-bd93-0295451cc9dd,VoiceQ,Voice Queue,f,,,,,
,2,-2,47315,2024-04-12 09:31:51.190336+00,20240412,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-12 09:23:20.151+00,202404120915,09989350291712913772,2024-04-12 09:22:53.428+00,202404120915,INCOMING,2024-04-12 09:23:20.151+00,202404120915,17157736-d0b1-4097-9708-c276a5eca381,2024-04-12 09:22:53.428+00,202404120915,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,[Department.Accounts],,,,,,,,,,,,NA,,2024-04-12 09:23:12.723+00,,202404120915,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,b4c28c2d-7e68-4d42-bd93-0295451cc9dd,VoiceQ,Voice Queue,f,,,,,
,2,-2,47288,2024-04-12 09:31:51.198432+00,20240412,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-12 09:22:33.823+00,202404120915,07626063501712913728,2024-04-12 09:22:08.927+00,202404120915,INCOMING,2024-04-12 09:22:33.823+00,202404120915,ae090812-dab5-468e-bbab-af864ffe8bd5,2024-04-12 09:22:08.927+00,202404120915,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,[Department.Accounts],,,,,,,,,,,,NA,,2024-04-12 09:22:26.268+00,,202404120915,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,b4c28c2d-7e68-4d42-bd93-0295451cc9dd,VoiceQ,Voice Queue,f,,,,,
,2,-2,47260,2024-04-12 09:31:51.199833+00,20240412,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-12 09:21:50.546+00,202404120915,07626063471712913686,2024-04-12 09:21:27.071+00,202404120915,INCOMING,2024-04-12 09:21:50.546+00,202404120915,e067c8a9-ed72-43b7-8813-97335fac5913,2024-04-12 09:21:27.071+00,202404120915,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,[Department.Accounts],,,,,,,,,,,,NA,,2024-04-12 09:21:43.802+00,,202404120915,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,b4c28c2d-7e68-4d42-bd93-0295451cc9dd,VoiceQ,Voice Queue,f,,,,,
